No.ID,No.paper,Title,Year,Plant.species,Plant_type,Site,Country,Infection_Position,Index,Pathogens,Disease.type,Pathogen.taxon,Life_history,yi,vi
44,11,"Performance of two Ips bark
beetles and their associated
pathogenic fungi on hosts
reflects a species-specific
association in the beetlefungus complex",2022,Larix olgensis,Woody,"Jingouling
Forest Farm.Jilin",China,Leaf,Lignin,Endoconidiophora fujiensis,Leaf spot,Fungus,Necrotroph,0.865980722,0.007094121
45,11,"Performance of two Ips bark
beetles and their associated
pathogenic fungi on hosts
reflects a species-specific
association in the beetlefungus complex",2022,Larix olgensis,Woody,"Jingouling
Forest Farm.Jilin",China,Leaf,Lignin,Endoconidiophora polonica,Leaf spot,Fungus,Necrotroph,1.069773632,0.002438152
46,12,"Biocontrol potential of Trichoderma harzianum against Botrytis cinerea in
tomato plants",2022,Solanum lycopersicum,Forb,Luoyang,China,Leaf,Phenolics,"Botrytis
cinerea","Gray
mold/Blight",Fungus,Necrotroph,0.387381433,0.00252407
47,12,"Biocontrol potential of Trichoderma harzianum against Botrytis cinerea in
tomato plants",2022,Solanum lycopersicum,Forb,Luoyang,China,Leaf,Lignin,"Botrytis
cinerea","Gray
mold/Blight",Fungus,Necrotroph,-1.00144854,0.006336523
54,14,"Potentiation of soybean resistance against Phakopsora
pachyrhizi infection using phosphite combined with free amino
acids",2022,Glycine max,Forb,Minas Gerais,Brazil,Leaf,Phenolics,Phakopsora pachyrhizi,Rust,Fungus,Biotroph,-0.003595833,0.000268708
55,14,"Potentiation of soybean resistance against Phakopsora
pachyrhizi infection using phosphite combined with free amino
acids",2022,Glycine max,Forb,Minas Gerais,Brazil,Leaf,Lignin,Phakopsora pachyrhizi,Rust,Fungus,Biotroph,0.428437965,0.008199761
56,15,"Defense mechanisms involved in the resistance of maize
cultivars to Bipolaris maydis",2022,Zea mays,Grass,Santa Catarina,Brazil,Leaf,Flavonoids,Bipolaris maydis,Leaf Blight,Fungus,Necrotroph,0.345563208,0.004339799
59,17,"Maize resistance to northern corn leaf blight is potentiated by
nickel",2021,Zea mays,Grass,Minas Gerais,Brazil,Leaf,Phenolics,Exserohilum turcicum,Northern corn leaf blight,Fungus,Necrotroph,0.929388314,0.018430926
60,17,"Maize resistance to northern corn leaf blight is potentiated by
nickel",2021,Zea mays,Grass,Minas Gerais,Brazil,Leaf,Lignin,Exserohilum turcicum,Northern corn leaf blight,Fungus,Necrotroph,0.395095251,0.010378819
61,18,"Soybean resistance to Phakopsora pachyrhizi infection is barely potentiated 
by boron",2021,Glycine max,Forb,Minas Gerais,Brazil,Leaf,Phenolics,Phakopsora pachyrhizi,Asian soybean rust,Fungus,Biotroph,0.092293772,0.002865833
62,18,"Soybean resistance to Phakopsora pachyrhizi infection is barely potentiated 
by boron",2021,Glycine max,Forb,Minas Gerais,Brazil,Leaf,Lignin,Phakopsora pachyrhizi,Asian soybean rust,Fungus,Biotroph,0.668299909,0.00125849
65,20,"Systemic reprogramming of phytohormone profiles and
metabolic traits by virulent Diplodia infection in its pine (Pinus
sylvestris L.) host",2021,"Pinus 
sylvestris",Woody,Freiburg,Germany,Leaf,Lignin,Diplodia pinea,Leaf spot,Fungus,Necrotroph,-0.033366973,0.003358723
67,20,"Systemic reprogramming of phytohormone profiles and
metabolic traits by virulent Diplodia infection in its pine (Pinus
sylvestris L.) host",2021,"Pinus 
sylvestris",Woody,Freiburg,Germany,Leaf,Lignin,Diplodia pinea,Leaf spot,Fungus,Necrotroph,-0.132347749,0.006088598
69,20,"Systemic reprogramming of phytohormone profiles and
metabolic traits by virulent Diplodia infection in its pine (Pinus
sylvestris L.) host",2021,"Pinus 
sylvestris",Woody,Freiburg,Germany,Leaf,Celluloses,Diplodia pinea,Leaf spot,Fungus,Necrotroph,-0.057699387,0.00488107
71,20,"Systemic reprogramming of phytohormone profiles and
metabolic traits by virulent Diplodia infection in its pine (Pinus
sylvestris L.) host",2021,"Pinus 
sylvestris",Woody,Freiburg,Germany,Leaf,Celluloses,Diplodia pinea,Leaf spot,Fungus,Necrotroph,0.07523856,0.002278587
73,21,Differential Responses of Cucurbita pepo to Podosphaera xanthii Reveal the Mechanism of Powdery Mildew Disease Resistance in Pumpkin,2021,Cucurbita pepo,Forb,Lanzhou,China,Leaf,Lignin,Podosphaera xanthii,Powdery mildew,Fungus,Biotroph,0.179258767,0.001646342
74,21,Differential Responses of Cucurbita pepo to Podosphaera xanthii Reveal the Mechanism of Powdery Mildew Disease Resistance in Pumpkin,2021,Cucurbita pepo,Forb,Lanzhou,China,Leaf,Lignin,Podosphaera xanthii,Powdery mildew,Fungus,Biotroph,0.10757413,0.001653785
75,21,Differential Responses of Cucurbita pepo to Podosphaera xanthii Reveal the Mechanism of Powdery Mildew Disease Resistance in Pumpkin,2021,Cucurbita pepo,Forb,Lanzhou,China,Leaf,Phenolics,Podosphaera xanthii,Powdery mildew,Fungus,Biotroph,0.20715971,0.001658948
76,21,Differential Responses of Cucurbita pepo to Podosphaera xanthii Reveal the Mechanism of Powdery Mildew Disease Resistance in Pumpkin,2021,Cucurbita pepo,Forb,Lanzhou,China,Leaf,Phenolics,Podosphaera xanthii,Powdery mildew,Fungus,Biotroph,0.195806997,0.001673991
77,22,"Anatomical and biochemical changes in leaves of Vitis labrusca L. cv.
Niagara Rosada in response to infection by Elsino? ampelina Shear",2020,Vitis labrusca,Woody,Piracicaba,Brazil,Leaf,Phenolics,Elsino? ampelina,Anthracnose,Fungus,Necrotroph,0.136252361,0.004503853
78,22,"Anatomical and biochemical changes in leaves of Vitis labrusca L. cv.
Niagara Rosada in response to infection by Elsino? ampelina Shear",2020,Vitis labrusca,Woody,Piracicaba,Brazil,Leaf,Flavonoids,Elsino? ampelina,Anthracnose,Fungus,Necrotroph,0.17697395,0.001851127
79,23,Glutamate potentiates rice resistance to blast,2019,Oryza sativa,Grass,Vi?osa,Brazil,Leaf,Phenolics,Pyricularia oryzae,Leaf blast,Fungus,Hemibiotrophic,0.245411342,0.000498168
80,23,Glutamate potentiates rice resistance to blast,2019,Oryza sativa,Grass,Vi?osa,Brazil,Leaf,Lignin,Pyricularia oryzae,Leaf blast,Fungus,Hemibiotrophic,0.113553283,0.000460605
81,24,"Response to Fusarium graminearum infection in the rachis of a resistant and a susceptible 
wheat genotype",2019,Thinopyrum elongatum,Grass,Ottawa,Canada,Leaf,Lignin,Fusarium graminearum,Fusarium head blight,Fungus,Necrotroph,0.029584831,0.000947908
82,24,"Response to Fusarium graminearum infection in the rachis of a resistant and a susceptible 
wheat genotype",2019,Thinopyrum elongatum,Grass,Ottawa,Canada,Leaf,Lignin,Fusarium graminearum,Fusarium head blight,Fungus,Necrotroph,0.22390565,0.002350711
83,24,"Response to Fusarium graminearum infection in the rachis of a resistant and a susceptible 
wheat genotype",2019,Thinopyrum elongatum,Grass,Ottawa,Canada,Leaf,Celluloses,Fusarium graminearum,Fusarium head blight,Fungus,Necrotroph,-0.062973972,0.000236506
84,24,"Response to Fusarium graminearum infection in the rachis of a resistant and a susceptible 
wheat genotype",2019,Thinopyrum elongatum,Grass,Ottawa,Canada,Leaf,Celluloses,Fusarium graminearum,Fusarium head blight,Fungus,Necrotroph,-0.065767917,0.000149236
85,25,Silicon alleviates the changes in the source-sink relationship of wheat plants infected by Pyricularia oryzae.,2019,Triticum aestivum,Grass,Vi?osa,Brazil,Leaf,Phenolics,Pyricularia oryzae,Leaf blast,Fungus,Necrotroph,-0.122310074,0.000377667
86,25,Silicon alleviates the changes in the source-sink relationship of wheat plants infected by Pyricularia oryzae.,2019,Triticum aestivum,Grass,Vi?osa,Brazil,Leaf,Lignin,Pyricularia oryzae,Leaf blast,Fungus,Necrotroph,-0.570233757,0.015463085
92,28,"Phialomycesmacrosporusdecreasesanthracnoseseverityoncoffee
 seedlingsbycompetitionfornutrientsandinducedresistance",2016,Coffea arabica,Woody,Minas Gerais,Brazil,Leaf,Phenolics,Colletotrichum gloeosporioides,Coffee berry disease,Fungus,Necrotroph,-0.059719094,0.00535584
93,28,"Phialomycesmacrosporusdecreasesanthracnoseseverityoncoffee
 seedlingsbycompetitionfornutrientsandinducedresistance",2016,Coffea arabica,Woody,Minas Gerais,Brazil,Leaf,Lignin,Colletotrichum gloeosporioides,Coffee berry disease,Fungus,Necrotroph,0.194463934,0.0045748
102,31,Comparison of root and foliar applications of potassiumsilicate in potentiating post-infection defences of melonagainst powdery mildew,2015,Cucumis melo,Forb,Minas Gerais,Brazil,Leaf,Phenolics,Podosphaera xanthii,Powdery mildew,Fungus,Biotroph,0.182050957,0.002148534
103,31,Comparison of root and foliar applications of potassiumsilicate in potentiating post-infection defences of melonagainst powdery mildew,2015,Cucumis melo,Forb,Minas Gerais,Brazil,Leaf,Lignin,Podosphaera xanthii,Powdery mildew,Fungus,Biotroph,0.071993513,0.00449046
104,32,"Benzothiadiazole Induces the Accumulation of Phenolics and
 Improves Resistance to Powdery Mildew in Strawberries",2007,Fragaria ananassa,Forb,Kuopio,Finland,Leaf,Phenolics,"Sphaerotheca
 macularis",Powdery mildew,Fungus,Biotroph,0.08594243,0.008088327
114,37," Leaf phenolics of three willow clones differing in resistance to
 Melampsora rust infection",1999,Salix myrsinifolia,Woody,Aachen,Germany,Leaf,Phenolics,Melampsora sp.,Rust,Fungus,Biotroph,-0.124191167,0.025539853
115,37," Leaf phenolics of three willow clones differing in resistance to
 Melampsora rust infection",1999,Salix myrsinifolia,Woody,Aachen,Germany,Leaf,Phenolics,Melampsora sp.,Rust,Fungus,Biotroph,0.603528655,0.038391771
116,37," Leaf phenolics of three willow clones differing in resistance to
 Melampsora rust infection",1999,Salix myrsinifolia,Woody,Aachen,Germany,Leaf,Phenolics,Melampsora sp.,Rust,Fungus,Biotroph,0.285253901,0.042528586
117,38,"Identification of Golovinomyces artemisiae Causing Powdery Mildew, Changes in Chlorophyll Fluorescence Parameters, and Antioxidant Levels in Artemisia selengensis",2022,Artemisia selengensis,Forb,Harbin,China,Leaf,Lignin,Golovinomyces artemisiae,Powdery mildew,Fungus,Biotroph,0.396881364,0.003958691
118,39,Defense responses and oxidative metabolism of glyphosate-resistant soybean plants infected by Phakopsora pachyrhizi modulated by glyphosate and nickel,2022,Glycine max,Forb,Vi?osa,Brazil,Leaf,Phenolics,Phakopsora pachyrhizi,Rust,Fungus,Biotroph,0.059644312,0.000455782
119,39,Defense responses and oxidative metabolism of glyphosate-resistant soybean plants infected by Phakopsora pachyrhizi modulated by glyphosate and nickel,2022,Glycine max,Forb,Vi?osa,Brazil,Leaf,Lignin,Phakopsora pachyrhizi,Rust,Fungus,Biotroph,0.675245622,0.001067664
120,40,Susceptibility to the fungal plant pathogen Austropuccinia psidii is related to monoterpene production in Australian Myrtaceae species,2022,Angophora costata,Woody,Macquarie University,Australia,Leaf,Phenolics,Austropuccinia psidii,Rust,Fungus,Biotroph,0.216184435,0.005751531
121,40,Susceptibility to the fungal plant pathogen Austropuccinia psidii is related to monoterpene production in Australian Myrtaceae species,2022,Callistemon citrinus,Woody,Macquarie University,Australia,Leaf,Phenolics,Austropuccinia psidii,Rust,Fungus,Biotroph,-0.290404379,0.002674446
122,40,Susceptibility to the fungal plant pathogen Austropuccinia psidii is related to monoterpene production in Australian Myrtaceae species,2022,Corymbia citriodora,Woody,Macquarie University,Australia,Leaf,Phenolics,Austropuccinia psidii,Rust,Fungus,Biotroph,0.044080641,0.00981093
123,40,Susceptibility to the fungal plant pathogen Austropuccinia psidii is related to monoterpene production in Australian Myrtaceae species,2022,Callistemon viminalis,Woody,Macquarie University,Australia,Leaf,Phenolics,Austropuccinia psidii,Rust,Fungus,Biotroph,-0.23065645,0.002479773
124,40,Susceptibility to the fungal plant pathogen Austropuccinia psidii is related to monoterpene production in Australian Myrtaceae species,2022,Eucalyptus moluccana,Woody,Macquarie University,Australia,Leaf,Phenolics,Austropuccinia psidii,Rust,Fungus,Biotroph,-1.11613851,0.026397139
125,40,Susceptibility to the fungal plant pathogen Austropuccinia psidii is related to monoterpene production in Australian Myrtaceae species,2022,Eucalyptus saligna,Woody,Macquarie University,Australia,Leaf,Phenolics,Austropuccinia psidii,Rust,Fungus,Biotroph,-0.33569387,0.003766054
126,40,Susceptibility to the fungal plant pathogen Austropuccinia psidii is related to monoterpene production in Australian Myrtaceae species,2022,Leptospermum trinervium,Woody,Macquarie University,Australia,Leaf,Phenolics,Austropuccinia psidii,Rust,Fungus,Biotroph,-0.433663145,0.004633206
127,41,"Morphological changes of Podosphaera xanthii and induced biochemical 
defenses of cucumber after treated by (+)-(S)-ar-turmerone",2020,Cucumis sativus,Forb,Shanghai,China,Leaf,Phenolics,Podosphaera xanthii,Powdery mildew,Fungus,Biotroph,0.170440887,0.000823258
128,41,"Morphological changes of Podosphaera xanthii and induced biochemical 
defenses of cucumber after treated by (+)-(S)-ar-turmerone",2020,Cucumis sativus,Forb,Shanghai,China,Leaf,Lignin,Podosphaera xanthii,Powdery mildew,Fungus,Biotroph,0.373482062,0.006449994
